"isrc","ranking_date","rank","ranking_source"
"USUM72401994","2025-01-10","8","Apple Music"
"QMFMF2447060","2025-01-10","9","Apple Music"
"USUG12500001","2025-01-10","10","Apple Music"
"USUM72409273","2025-01-11","1","Spotify"
"USAT22409172","2025-01-11","2","Spotify"
"QMFMF2447070","2025-01-11","3","Spotify"
"USUG12406903","2025-01-11","4","Spotify"
"USUM72401994","2025-01-11","5","Spotify"
"QMFMF2447055","2025-01-11","6","Spotify"
"QMFMF2447057","2025-01-11","7","Spotify"
"QMFMF2447056","2025-01-11","8","Spotify"
"USUG12408496","2025-01-11","9","Spotify"
"QMFMF2447060","2025-01-11","10","Spotify"
"QMFMF2447070","2025-01-11","1","Apple Music"
"USAT22409172","2025-01-11","2","Apple Music"
"QMFMF2447057","2025-01-11","3","Apple Music"
"QMFMF2447055","2025-01-11","4","Apple Music"
"USUM72409273","2025-01-11","5","Apple Music"
"QMFMF2447056","2025-01-11","6","Apple Music"
"USUG12408496","2025-01-11","7","Apple Music"
"QMFMF2447060","2025-01-11","8","Apple Music"
"USUM72401994","2025-01-11","9","Apple Music"
"USRC12403853","2025-01-11","10","Apple Music"
"USUM72409273","2025-01-12","1","Spotify"
"QMFMF2447070","2025-01-12","2","Spotify"
"USAT22409172","2025-01-12","3","Spotify"
"QMFMF2447057","2025-01-12","4","Spotify"
"QMFMF2447055","2025-01-12","5","Spotify"
"USUG12406903","2025-01-12","6","Spotify"
"USUM72401994","2025-01-12","7","Spotify"
"QMFMF2447056","2025-01-12","8","Spotify"
"QMFMF2447060","2025-01-12","9","Spotify"
"QMFMF2447059","2025-01-12","10","Spotify"
"QMFMF2447070","2025-01-12","1","Apple Music"
"QMFMF2447057","2025-01-12","2","Apple Music"
"USAT22409172","2025-01-12","3","Apple Music"
"QMFMF2447055","2025-01-12","4","Apple Music"
"QMFMF2447056","2025-01-12","5","Apple Music"
"USUM72409273","2025-01-12","6","Apple Music"
"QMFMF2447060","2025-01-12","7","Apple Music"
"USUG12408496","2025-01-12","8","Apple Music"
"QMFMF2447069","2025-01-12","9","Apple Music"
"QMFMF2447058","2025-01-12","10","Apple Music"
"QMFMF2447070","2025-01-13","1","Spotify"
"USUM72409273","2025-01-13","2","Spotify"
"USAT22409172","2025-01-13","3","Spotify"
"QMFMF2447057","2025-01-13","4","Spotify"
"QMFMF2447055","2025-01-13","5","Spotify"
"USUG12406903","2025-01-13","6","Spotify"
"USUM72401994","2025-01-13","7","Spotify"
"QMFMF2447056","2025-01-13","8","Spotify"
"QMFMF2447060","2025-01-13","9","Spotify"
"QMFMF2447059","2025-01-13","10","Spotify"
"QMFMF2447070","2025-01-13","1","Apple Music"
"QMFMF2447057","2025-01-13","2","Apple Music"
"USAT22409172","2025-01-13","3","Apple Music"
"QMFMF2447055","2025-01-13","4","Apple Music"
"USUM72409273","2025-01-13","5","Apple Music"
"QMFMF2447056","2025-01-13","6","Apple Music"
"QMFMF2447060","2025-01-13","7","Apple Music"
"USUG12408496","2025-01-13","8","Apple Music"
"QMFMF2447069","2025-01-13","9","Apple Music"
"QMFMF2447058","2025-01-13","10","Apple Music"
"QMFMF2447070","2025-01-14","1","Spotify"
"USUM72409273","2025-01-14","2","Spotify"
"USAT22409172","2025-01-14","3","Spotify"
"QMFMF2447057","2025-01-14","4","Spotify"
"QMFMF2447055","2025-01-14","5","Spotify"
"USUG12406903","2025-01-14","6","Spotify"
"USUM72401994","2025-01-14","7","Spotify"
"QMFMF2447056","2025-01-14","8","Spotify"
"QMFMF2447060","2025-01-14","9","Spotify"
"QMFMF2447059","2025-01-14","10","Spotify"
"QMFMF2447070","2025-01-14","1","Apple Music"
"USAT22409172","2025-01-14","2","Apple Music"
"QMFMF2447057","2025-01-14","3","Apple Music"
"QMFMF2447055","2025-01-14","4","Apple Music"
"USUM72409273","2025-01-14","5","Apple Music"
"QMFMF2447056","2025-01-14","6","Apple Music"
"USUG12408496","2025-01-14","7","Apple Music"
"QMFMF2447060","2025-01-14","8","Apple Music"
"USRC12403853","2025-01-14","9","Apple Music"
"QMFMF2447069","2025-01-14","10","Apple Music"
"QMFMF2447070","2025-01-15","1","Spotify"
"USUM72409273","2025-01-15","2","Spotify"
"USAT22409172","2025-01-15","3","Spotify"
"QMFMF2447057","2025-01-15","4","Spotify"
"QMFMF2447055","2025-01-15","5","Spotify"
"USUG12406903","2025-01-15","6","Spotify"
"USUM72401994","2025-01-15","7","Spotify"
"QMFMF2447056","2025-01-15","8","Spotify"
"QMFMF2447060","2025-01-15","9","Spotify"
"QMFMF2447059","2025-01-15","10","Spotify"
"QMFMF2447070","2025-01-15","1","Apple Music"
"QMFMF2447057","2025-01-15","2","Apple Music"
"USAT22409172","2025-01-15","3","Apple Music"
"QMFMF2447055","2025-01-15","4","Apple Music"
"USUM72409273","2025-01-15","5","Apple Music"
"QMFMF2447056","2025-01-15","6","Apple Music"
"QMFMF2447060","2025-01-15","7","Apple Music"
"USUG12408496","2025-01-15","8","Apple Music"
"USRC12403853","2025-01-15","9","Apple Music"
"QMFMF2447069","2025-01-15","10","Apple Music"
"QMFMF2447070","2025-01-16","1","Spotify"
"USUM72409273","2025-01-16","2","Spotify"
"USAT22409172","2025-01-16","3","Spotify"
"QMFMF2447057","2025-01-16","4","Spotify"
"QMFMF2447055","2025-01-16","5","Spotify"
"USUG12406903","2025-01-16","6","Spotify"
"USUM72401994","2025-01-16","7","Spotify"
"QMFMF2447056","2025-01-16","8","Spotify"
"QMFMF2447060","2025-01-16","9","Spotify"
"QMFMF2447059","2025-01-16","10","Spotify"
"QMFMF2447070","2025-01-16","1","Apple Music"
"QMFMF2447057","2025-01-16","2","Apple Music"
"QMFMF2447055","2025-01-16","3","Apple Music"
"USAT22409172","2025-01-16","4","Apple Music"
"QMFMF2447056","2025-01-16","5","Apple Music"
"USUM72409273","2025-01-16","6","Apple Music"
"QMFMF2447060","2025-01-16","7","Apple Music"
"USUG12408496","2025-01-16","8","Apple Music"
"QMFMF2447069","2025-01-16","9","Apple Music"
"USRC12403853","2025-01-16","10","Apple Music"
"QMFMF2447070","2025-01-17","1","Spotify"
"USUM72409273","2025-01-17","2","Spotify"
"QMFMF2447057","2025-01-17","3","Spotify"
"USAT22409172","2025-01-17","4","Spotify"
"QMFMF2447055","2025-01-17","5","Spotify"
"USUM72401994","2025-01-17","6","Spotify"
"USUG12406903","2025-01-17","7","Spotify"
"QMFMF2447056","2025-01-17","8","Spotify"
"QMFMF2447060","2025-01-17","9","Spotify"
"QMFMF2447069","2025-01-17","10","Spotify"
"QMFMF2447070","2025-01-17","1","Apple Music"
"QMFMF2447057","2025-01-17","2","Apple Music"
"QMFMF2447055","2025-01-17","3","Apple Music"
"USAT22409172","2025-01-17","4","Apple Music"
"QMFMF2447056","2025-01-17","5","Apple Music"
"USUM72409273","2025-01-17","6","Apple Music"
"QMFMF2447060","2025-01-17","7","Apple Music"
"USUG12408496","2025-01-17","8","Apple Music"
"USRC12403853","2025-01-17","9","Apple Music"
"QMFMF2447069","2025-01-17","10","Apple Music"
"QMFMF2447070","2025-01-18","1","Spotify"
"USUM72409273","2025-01-18","2","Spotify"
"USAT22409172","2025-01-18","3","Spotify"
"QMFMF2447057","2025-01-18","4","Spotify"
"QMFMF2447055","2025-01-18","5","Spotify"
"USUM72401994","2025-01-18","6","Spotify"
"QMFMF2447056","2025-01-18","7","Spotify"
"USUG12406903","2025-01-18","8","Spotify"
"QMFMF2447060","2025-01-18","9","Spotify"
"QMFMF2447069","2025-01-18","10","Spotify"
"QMFMF2447070","2025-01-18","1","Apple Music"
"QMFMF2447057","2025-01-18","2","Apple Music"
"QMFMF2447055","2025-01-18","3","Apple Music"
"USAT22409172","2025-01-18","4","Apple Music"
"QMFMF2447056","2025-01-18","5","Apple Music"
"USUM72409273","2025-01-18","6","Apple Music"
"USUG12408496","2025-01-18","7","Apple Music"
"QMFMF2447060","2025-01-18","8","Apple Music"
"USRC12403853","2025-01-18","9","Apple Music"
"QMFMF2447069","2025-01-18","10","Apple Music"
