"isrc","song_name","song_duration_ms","is_explicit","spotify_url","apple_music_url"
"USSM12402034","Young Metro","205346","True","https://open.spotify.com/track/3OxL6MuctgZp1e0zxoAZhH","https://music.apple.com/us/song/young-metro/1737150149"
"USSM12402029","Ice Attack","199253","True","https://open.spotify.com/track/70ToiXlzl8N1EgfC07ZcZE","https://music.apple.com/us/song/ice-attack/1737150153"
"USSM12402037","Cinderella","169840","True","https://open.spotify.com/track/0hKtu53OlIFXVuYkZwcn3o","https://music.apple.com/us/song/cinderella/1737150446"
"USSM12402043","Claustrophobic","222053","True","https://open.spotify.com/track/57ELn9TPDIhrpl0dasS465","https://music.apple.com/us/song/claustrophobic/1737150164"
"USSM12402035","Slimed In","194906","True","https://open.spotify.com/track/2GLWhy9iiO1wrLUF5l4FtJ","https://music.apple.com/us/song/slimed-in/1737150442"
"USSM12402031","Magic Don Juan (Princess Diana)","220733","True","https://open.spotify.com/track/7pBcryEKcUEaWHwAu1wUyP","https://music.apple.com/us/song/magic-don-juan-princess-diana/1737150443"
"USSM12402036","Runnin Outta Time","205480","True","https://open.spotify.com/track/4q7y1JFDBJSBSLqXVgcI51","https://music.apple.com/us/song/runnin-outta-time/1737150450"
"QZJ842400387","i like the way you kiss me","142514","False","https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf",
"USSM12401865","Too Sweet","251424","False","https://open.spotify.com/track/0AjmK0Eai4zGrLaJwPvrDp",
"USSM12402717","II MOST WANTED","208521","False","https://open.spotify.com/track/6zuPQl2RVqQ4y5nAH61CFC","https://music.apple.com/us/song/ii-most-wanted/1738363902"
"USSM12402711","JOLENE","189638","False","https://open.spotify.com/track/1VxEaXbIq3xAvqh80xP67w","https://music.apple.com/us/song/jolene/1738363893"
"USSM12402704","AMERIICAN REQUIEM","325037","False","https://open.spotify.com/track/6ocGUvvzNkvf4hAV9VFb4P","https://music.apple.com/us/song/ameriican-requiem/1738363767"
"USSM12402705","BLACKBIIRD","131949","False","https://open.spotify.com/track/7eEr7lgWYudwEKEaWCPiPI","https://music.apple.com/us/song/blackbiird/1738363769"
"USA2P2413259","Magnetic","160688","False","https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG","https://music.apple.com/us/song/magnetic/1734500896"
"USSM12401865","Too Sweet","251424","False","https://open.spotify.com/track/0AjmK0Eai4zGrLaJwPvrDp","https://music.apple.com/us/song/too-sweet/1735414394"
"UYB282401007","Natanael Cano: Bzrp Music Sessions, Vol. 59","155888","True","https://open.spotify.com/track/2DbV9TSdeGr5FobCFDRzvq",
"USUG12402413","7 Minute Drill","212213","True","https://open.spotify.com/track/2mhdhTWqT8RhkTlN2yWZZi","https://music.apple.com/us/song/7-minute-drill/1739698468"
"USUG12402403","Crocodile Tearz","229186","True","https://open.spotify.com/track/1yfKakY4rvI17lk20ekuRA","https://music.apple.com/us/song/crocodile-tearz/1739698036"
"USUG12402402","Pricey (feat. Ari Lennox, Young Dro & Gucci Mane)","295146","True","https://open.spotify.com/track/2w5BtuWXISpB6NM4xPoeiR","https://music.apple.com/us/song/pricey-feat-young-dro-gucci-mane/1739698035"
"USUG12402404","Ready ‘24 (feat. Cam’ron)","210133","True","https://open.spotify.com/track/4J9WveqdoaEUQu1aeoSH9X","https://music.apple.com/us/song/ready-24-feat-camron/1739698397"
"USUG12402405","Huntin’ Wabbitz","162026","True","https://open.spotify.com/track/2cH8wHImerFokgmhjyhCTU","https://music.apple.com/us/song/huntin-wabbitz/1739698399"
"USUG12402406","H.Y.B. (feat. Bas & Central Cee)","234586","True","https://open.spotify.com/track/5RMTsrJkrtumtiIZjy7dL6","https://music.apple.com/us/song/h-y-b/1739698408"
"USUM72403374","Wanna Be (with Megan Thee Stallion)","156444","True","https://open.spotify.com/track/2HiEaFEXDb0TUpTZAIoWSH","https://music.apple.com/us/song/wanna-be/1737095451"
"USSM12403111","We Still Don't Trust You","252920","True","https://open.spotify.com/track/7sVbKoBdhXtYCEOO6qC1SN","https://music.apple.com/us/song/we-still-dont-trust-you/1740864625"
"USSM12403103","Out Of My Hands","243040","True","https://open.spotify.com/track/2BOpFmZQ89Rjm2wvmud1MU","https://music.apple.com/us/song/out-of-my-hands/1740864634"
"USSM12403110","Drink N Dance","220626","True","https://open.spotify.com/track/0SdpzQRdK8BdSV57rn6AZZ","https://music.apple.com/us/song/drink-n-dance/1740864632"
"USSM12403100","Jealous","224666","True","https://open.spotify.com/track/4k8XSN1nCJ0rMf4OKF3zEz","https://music.apple.com/us/song/jealous/1740864642"
"USSM12403108","Red Leather","414893","True","https://open.spotify.com/track/4Dx4e0X5dR6TW85dtFU42x","https://music.apple.com/us/song/red-leather/1740865524"
"USUM72403305","Espresso","175459","True","https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75",
"QZL382406049","Gata Only","222000","True","https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6","https://music.apple.com/us/song/gata-only/1727813561"
"QZJ842400387","i like the way you kiss me","142514","False","https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf","https://music.apple.com/us/song/i-like-the-way-you-kiss-me/1736426869"
"USUM72403305","Espresso","175459","True","https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75","https://music.apple.com/us/song/espresso/1740212434"
"USUG12401028","Fortnight (feat. Post Malone)","228965","False","https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m","https://music.apple.com/us/song/fortnight-feat-post-malone/1742057775"
"USUG12401029","The Tortured Poets Department","293048","True","https://open.spotify.com/track/3NMrVbIVWT3fPXBj0rNDKG","https://music.apple.com/us/song/the-tortured-poets-department/1736268195"
"USUG12401031","Down Bad","261228","True","https://open.spotify.com/track/2F3N9tdombb64aW6VtZOdo","https://music.apple.com/us/song/down-bad/1736268377"
"USUG12401032","So Long, London","262974","False","https://open.spotify.com/track/0mWVScJbxO3tbXuiZOxYZE","https://music.apple.com/us/song/so-long-london/1736268386"
"USUG12401030","My Boy Only Breaks His Favorite Toys","203801","False","https://open.spotify.com/track/05msZuGKP3OCUGQnvLBOf4","https://music.apple.com/us/song/my-boy-only-breaks-his-favorite-toys/1736268196"
"USUG12401033","But Daddy I Love Him","340428","True","https://open.spotify.com/track/5og4Qzt92jJzVDkOtSEilb","https://music.apple.com/us/song/but-daddy-i-love-him/1736268392"
"USUG12401035","Florida!!! (feat. Florence + The Machine)","215463","True","https://open.spotify.com/track/3ZVFcD8Wlw9T9klGqmJf9F","https://music.apple.com/us/song/florida-feat-florence-the-machine/1736268400"
"USUG12401040","I Can Do It With a Broken Heart","218004","True","https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy",
"USUG12401037","Who’s Afraid of Little Old Me?","334084","False","https://open.spotify.com/track/36t6frENUtCYKuZus6aYDO",
"USUG12401034","Fresh Out The Slammer","210789","False","https://open.spotify.com/track/3fO566xJgwxIa3qGCGBvIC","https://music.apple.com/us/song/fresh-out-the-slammer/1736268397"
"USUG12401040","I Can Do It With a Broken Heart","218004","True","https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy","https://music.apple.com/us/song/i-can-do-it-with-a-broken-heart/1742058104"
"USUG12401037","Who’s Afraid of Little Old Me?","334084","False","https://open.spotify.com/track/36t6frENUtCYKuZus6aYDO","https://music.apple.com/us/song/whos-afraid-of-little-old-me/1742058100"
"USUG12401036","Guilty as Sin?","254365","False","https://open.spotify.com/track/5CUI8RI70agSuT2fIeYuK0","https://music.apple.com/us/song/guilty-as-sin/1742058097"
"USUYG1541249","A Bar Song (Tipsy)","171291","True","https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf","https://music.apple.com/us/song/a-bar-song-tipsy/1737085899"
"QM24S2402528","MILLION DOLLAR BABY","155151","False","https://open.spotify.com/track/7fzHQizxTqy8wTXwlrgPQQ","https://music.apple.com/us/song/million-dollar-baby/1743095418"
"USUG12402839","euphoria","383639","True","https://open.spotify.com/track/77DRzu7ERs0TX3roZcre7Q","https://music.apple.com/us/song/euphoria/1744024751"
"USUG12402984","Family Matters","456933","True","https://open.spotify.com/track/1wFFFzJ5EsKbBWZriAcubN","https://music.apple.com/us/song/family-matters/1744684622"
